trial_index,test_size,window_size,hidden_size,lstm_layers,num_attention_heads,dropout,batch_size,lr,epochs,grad_clip,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,4,25,32,2,2,0.2413370668888092,128,0.0001431737120669514,2000,2.4569315016269684,732.9488270896218,54.73783206155846,889586.6948920471,781.0765220275101,-70.42671148444904,35.42049018216496,1816.574266,2025-12-22T09:40:22,661.0
1,4,21,64,2,4,0.5537170147523284,64,6.0551919771986076e-05,2000,2.7147467406466603,1058.2384995921777,80.4705293777851,1568516.7945635722,1173.9100202471984,-169.271861632778,28.898587288529583,2578.888495,2025-12-22T10:10:39,619.3333333333334
2,4,11,128,3,2,0.43012282429262993,32,0.00012423087058477137,2000,1.800959661602974,219.94738984025898,16.91709582538187,81533.27990624266,262.35516568269526,-6.842871727966343,7.131111490776819,1894.926173,2025-12-22T10:53:38,369.0
3,4,31,32,1,4,0.1038826041854918,128,1.1322362108984185e-05,2000,0.8142561647109687,829.1939635852763,60.67490558688058,1081870.4473020975,1003.309084037791,-107.84354521120225,13.794791464383671,1050.395223,2025-12-22T11:25:13,334.0
4,4,37,128,2,4,0.16363934557884932,64,0.0002324410007852662,2000,2.173764786683023,571.1446579981658,43.7640337096467,477553.7430612888,603.5972082310246,-71.92184805890507,27.675939915287184,3628.021128,2025-12-22T11:42:43,670.3333333333334
5,4,17,32,4,2,0.3664521727710962,64,1.9125040359128024e-05,2000,0.6414997433312237,636.3724533727576,48.44993272164091,585711.4146572208,710.3024504863782,-64.63022631727894,23.857108507977163,4348.64951,2025-12-22T12:43:11,1198.6666666666667
6,4,25,256,1,4,0.4928539813496172,32,0.00039310828438142746,2000,1.5303100920282304,818.7191018938229,64.51631736368743,1004489.712958549,846.4498250228567,-121.94730425303051,46.45283386154498,1515.20916,2025-12-22T13:55:40,192.0
7,4,50,64,3,2,0.2911398614756763,128,3.5826466139201314e-05,2000,2.4980281684547663,622.7354834474313,46.19512548229384,476536.49397862796,679.7212515380025,-50.59201768232655,7.0581372419492725,1803.370023,2025-12-22T14:20:55,349.3333333333333
8,4,47,128,1,2,0.5914866806939244,128,0.000242381636713946,2000,2.2272043274715543,343.4312831945649,24.71408938552337,187378.9157437807,402.67413772499884,-16.667043471341515,9.02986405731983,2598.328811,2025-12-22T14:50:58,401.3333333333333
9,4,27,32,3,4,0.2628196574747562,32,2.9360331324892923e-05,2000,0.7125659422017634,1494.0738305807392,116.69207389416404,2568828.5070638726,1561.9642641507805,-316.1786139568356,33.91187935360606,3392.186953,2025-12-22T15:34:17,558.0
10,4,15,256,2,2,0.13531915741041303,64,0.00045153396293813304,2000,1.6154902982525527,419.0402693764111,33.06603648002942,228939.86829810977,467.98900572258805,-30.58819262276116,7.439987770061513,1669.86115,2025-12-22T16:30:49,328.0
11,4,41,64,4,4,0.4650848581455648,64,4.9707076400138e-05,2000,2.600830264389515,272.40608655763253,19.917487787372085,105988.43040981604,299.98129338573284,-8.666617955612613,9.473027435149247,3499.553413,2025-12-22T16:58:39,710.6666666666666
12,4,33,256,3,4,0.4037555068731308,128,0.0007652261454097486,2000,1.40250811772421,1215.835457635915,96.20833218794625,2233221.613353411,1252.517373991992,-350.97253709363713,64.13309984235484,1834.678282,2025-12-22T17:56:58,238.0
13,4,8,64,1,2,0.2005624169483781,32,9.269723373402291e-05,2000,2.9360413243994117,251.02503375457567,19.27964684793034,83460.36114289089,276.98757577626424,-7.5653693125803345,4.940072002723985,1248.168445,2025-12-22T18:27:33,255.0
14,4,24,128,4,4,0.32305803513154385,32,0.00014293583240777613,2000,2.0484234411269426,1350.8969600698708,102.63690094431645,2167868.8081129394,1376.1512673527259,-212.44858517680746,37.683108570567526,1017.285954,2025-12-22T18:48:21,150.66666666666666
15,4,44,32,2,2,0.527349713165313,64,1.5735579502125907e-05,2000,1.081935083027929,558.2062149267598,41.166984784477286,397007.295655425,612.1963259616792,-40.385779267216485,7.480270005199536,5826.573957,2025-12-22T19:05:19,1250.6666666666667
16,4,9,128,2,2,0.30587681618029144,32,0.0001303311136099411,2000,2.2184612672664867,150.61826825160153,11.607193472610867,32562.712612144907,169.5291112148191,-2.3573439543868564,4.781673058543486,1890.792197,2025-12-22T20:42:26,375.0
17,4,10,64,2,2,0.3203026329496208,32,0.00011945264524424186,2000,2.2323141058033897,375.93559372025294,28.460803052076347,199168.59535036827,405.7027603042241,-16.77390698911869,12.23406609544024,2041.382884,2025-12-22T21:13:57,406.0
18,4,9,256,2,2,0.3262384214883737,32,0.00013798216128391798,2000,2.054282598911968,184.18658846019716,14.740998234250696,57514.777730311405,211.10174850606742,-6.564352154375051,7.8762622007189025,1768.797857,2025-12-22T21:47:59,337.6666666666667
19,4,8,128,3,2,0.2905839861183328,32,0.00012893572634192218,2000,2.365986934402692,139.70533134933666,10.577609140089159,24942.873852695262,155.95269644034192,-1.9152190310428001,2.072845186501906,1725.599921,2025-12-22T22:17:29,335.6666666666667
20,4,8,128,2,2,0.2460965608088252,32,0.00011343444817835108,2000,2.6748073476144425,298.21564813660143,22.76981093139445,169713.87803689163,338.4050518313868,-13.799723984337243,15.715193458379064,2082.976332,2025-12-22T22:46:15,409.6666666666667
21,4,8,128,3,2,0.31113785155126905,32,0.00017826974428473635,2000,1.8066642039841727,161.44710370995952,12.449108746326582,42385.764410726704,195.57356759135567,-4.361574266757407,6.222510785521276,1756.434477,2025-12-22T23:20:58,341.6666666666667
22,4,46,64,3,4,0.48030896360556985,64,6.0831398540233504e-05,2000,2.795582560035763,325.64282098230046,24.02456733231079,146254.6140418258,369.3430802721379,-15.473365282282785,7.672583754254888,4455.346784,2025-12-22T23:50:15,841.0
23,4,8,128,3,2,0.34866926954975924,32,0.00012524544650139736,2000,2.098792819718736,166.8257712444515,12.771708480022511,41068.67078562655,197.48944295200977,-4.229938968708893,4.571684202244307,1416.408798,2025-12-23T01:04:32,277.0
24,4,11,128,3,2,0.2947297022388362,32,0.00017429574877377883,2000,2.0922244513972195,157.77717449314147,12.402364447545777,45799.9169241607,192.67553506384377,-4.428928155129395,6.704931464339726,1709.948375,2025-12-23T01:28:09,328.3333333333333
25,4,45,64,4,4,0.40415571862871746,64,2.7202518076316627e-05,2000,3.0,331.58979326671215,24.280836741210194,166646.05891062177,387.0851333440974,-16.652980918629343,5.537274625835615,5415.497207,2025-12-23T01:56:40,1021.0
26,4,45,64,4,4,0.572655596798084,64,5.5853399181340986e-05,2000,2.717258570557264,354.1949294196791,25.821702734646838,210394.65237054988,389.5681842216712,-16.23516746189657,13.346879173767066,3942.32642,2025-12-23T03:26:56,743.3333333333334
27,4,9,128,3,2,0.29376847410060214,32,0.0001426313668040854,2000,2.000084263838129,178.8417508511658,14.245127856096905,66096.7368261649,215.77956522020995,-6.847481803879313,10.712428533484111,2475.314064,2025-12-23T04:32:40,481.3333333333333
28,4,8,128,3,2,0.363257459361356,32,0.0003386019391461608,2000,2.2147533961116377,164.81092110687172,12.660930367361415,39842.84610795809,192.78228126834287,-4.003657497345944,5.089356877583811,1072.112497,2025-12-23T05:13:56,209.0
29,4,44,32,4,4,0.3689848066923569,64,0.00011772233122061862,2000,2.770956237573353,300.8088496365574,21.548121219710694,158404.23597009337,355.99829280426684,-12.932840700448665,12.818849454053131,3400.902409,2025-12-23T05:31:49,708.6666666666666
30,4,9,128,3,2,0.33714377279549995,32,0.0002129700600789097,2000,2.098299737218153,191.98221629296572,15.078620511797,70080.4476324329,236.45607311278448,-7.2997330443196615,8.714544025964004,1256.822196,2025-12-23T06:28:31,245.0
31,4,43,64,4,4,0.4056966395397723,64,8.804820808833262e-05,2000,2.8536921855108925,181.0356634368089,13.17032999355843,71907.09244038606,246.4703381430904,-5.49583028252875,3.0268140776561063,2692.963223,2025-12-23T06:49:29,522.6666666666666
32,4,43,64,4,4,0.3642639569605284,64,0.0001686023566473119,2000,3.0,251.80447588079414,18.422007416457806,99557.53487487818,288.7860726481013,-7.938011104975004,8.399716498041606,1789.344298,2025-12-23T07:34:23,347.6666666666667
