trial_index,test_size,window_size,hidden_size,lstm_layers,num_attention_heads,dropout,batch_size,lr,epochs,grad_clip,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,12,49,256,4,2,0.22637823820114136,128,0.0007359096666678943,2000,1.2014334201812744,1343.8635932338618,108.09260664589068,2087783.022015826,1384.517848449111,-495.28460380534716,31.08729535728094,1263.724101,2025-12-19T11:28:16,137.33333333333334
1,12,33,64,2,4,0.5537170147523284,64,6.0551919771986076e-05,2000,2.7147467406466603,1250.5113428575394,101.57375151066815,1925662.4526828842,1376.57975103035,-471.7299817893707,10.699787678745855,685.511391,2025-12-19T11:49:20,145.33333333333334
2,12,28,128,3,2,0.43012282429262993,32,0.00012423087058477137,2000,1.800959661602974,211.35447700321615,17.20824898893962,65499.7658972142,254.55318330555374,-15.871128571505182,3.1828690699675586,1016.487169,2025-12-19T12:00:45,169.0
3,12,40,32,1,4,0.1038826041854918,128,1.1322362108984185e-05,2000,0.8142561647109687,659.5250986236339,53.805340127811654,674881.1480781985,816.392740494728,-172.15770241612924,8.640581197090743,1102.292575,2025-12-19T12:17:42,322.3333333333333
4,12,43,128,2,4,0.16363934557884932,64,0.0002324410007852662,2000,2.173764786683023,729.2639301694875,58.35784104431095,720996.6945741215,765.5414278331297,-199.22413390720124,26.870288754371188,681.238791,2025-12-19T12:36:04,129.66666666666666
5,12,31,32,4,2,0.3664521727710962,64,1.9125040359128024e-05,2000,0.6414997433312237,944.8500060350107,76.15291365604378,1443124.5858274822,1167.969531532029,-335.1519103553643,24.771015509979083,1646.956896,2025-12-19T12:47:25,370.6666666666667
6,12,36,256,1,4,0.4928539813496172,32,0.00039310828438142746,2000,1.5303100920282304,567.1818594529024,45.42809268516671,452048.8738821032,607.8268342199323,-126.65639306747381,20.632652907475077,1070.189085,2025-12-19T13:14:52,131.33333333333334
7,12,51,64,3,2,0.2911398614756763,128,3.5826466139201314e-05,2000,2.4980281684547663,1535.607287479296,125.32060195900488,2718536.8219481027,1648.779488047093,-662.6208623857996,5.241698205615189,683.605129,2025-12-19T13:32:42,149.33333333333334
8,12,49,128,1,2,0.5914866806939244,128,0.000242381636713946,2000,2.2272043274715543,910.6672043019234,72.36963470569411,1227039.3118562913,966.6199547461507,-314.91132575467924,40.385972866001765,1380.749116,2025-12-19T13:44:06,230.66666666666666
9,12,37,32,3,4,0.2628196574747562,32,2.9360331324892923e-05,2000,0.7125659422017634,514.6584374466529,40.51238831408941,571971.7620454177,605.4525618897206,-163.47351342121826,34.76111115971226,2467.634897,2025-12-19T14:07:07,431.3333333333333
